Driver,Compound,Stint,LapsOnStint,AvgLapTime,DegradationSecPerLap
HAM,SOFT,1.0,9,98.26,0.0031
HAM,HARD,2.0,19,96.886,0.0028
HAM,HARD,3.0,23,95.414,0.0382
LEC,SOFT,1.0,8,97.941,0.1251
LEC,HARD,2.0,21,96.898,0.0065
LEC,HARD,3.0,22,95.222,0.0593
VER,SOFT,1.0,13,96.964,0.0315
VER,HARD,2.0,18,95.58,0.0608
VER,SOFT,3.0,19,94.685,0.0335
